종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,업종명,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2022.06),추정PERlEPS,PBRlBPS (2022.06),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2021.12,PERlEPS(2021.12),PBRlBPS (2021.12),PERlEPS(2022.03),PBRlBPS (2022.03),PERlEPS(2021.09),PBRlBPS (2021.09)
WI *,1140.0,234.0,+25.83%,1135.0,1140.0,9171446.0,10065.0,231771.0,반도체와반도체장비,2022-09-20,WI,073570,,,,,,,,,,,,,,,,,922  억원,코스닥 896위,80904873,100원  l  1주,80904873,774014,0.96%,N/A  l  N/A,"2,130  l  798",N/A  l  -133원,N/A  l  N/A,3.10배  l  368원,,7.35배,-1.10%,,,,,,,
코디엠 *,440.0,41.0,+10.28%,439.0,440.0,8260735.0,3770.0,3424918.0,반도체와반도체장비,2022-09-20,코디엠,224060,,,,,,,,,,,,,,,,,267  억원,코스닥 1492위,60712429,500원  l  1주,60712429,614799,1.01%,N/A  l  N/A,"1,395  l  397",N/A  l  -272원,N/A  l  N/A,"0.43배  l  1,026원",,7.35배,-1.10%,,,,,,,
에스앤에스텍 *,24250.0,1650.0,+7.30%,24250.0,24300.0,535243.0,12907.0,117016.0,반도체와반도체장비,2022-09-20,에스앤에스텍,101490,,,,,,,,,,,,,,,,,"5,202  억원",코스닥 114위,21451447,500원  l  1주,21451447,1099583,5.13%,N/A  l  N/A,"39,000  l  18,250",43.62배  l  556원,N/A  l  N/A,"2.81배  l  8,623원",,7.35배,-1.10%,0.41%,,,,,,
타이거일렉 *,23300.0,1550.0,+7.13%,23200.0,23300.0,67349.0,1569.0,22208.0,반도체와반도체장비,2022-09-20,타이거일렉,219130,,,,,,,,,,,,,,,,,"1,471  억원",코스닥 588위,6314290,500원  l  1주,6314290,1236240,19.58%,N/A  l  N/A,"23,950  l  12,500","21.22배  l  1,098원",N/A  l  N/A,"2.62배  l  8,879원",,7.35배,-1.10%,,,,,,,
아진엑스텍 *,11500.0,750.0,+6.98%,11450.0,11500.0,245178.0,2745.0,235945.0,반도체와반도체장비,2022-09-20,아진엑스텍,059120,,,,,,,,,,,,,,,,,"1,121  억원",코스닥 764위,9748596,500원  l  1주,9748596,73832,0.76%,N/A  l  N/A,"17,200  l  7,500",34.53배  l  333원,N/A  l  N/A,"2.38배  l  4,839원",,7.35배,-1.10%,1.30%,,,,,,
KEC,2885.0,160.0,+5.87%,2885.0,2890.0,8496111.0,24522.0,2040720.0,반도체와반도체장비,2022-09-20,KEC,092220,,,,,,,,,,,,,,,,,"4,176  억원",코스피 366위,144748141,500원  l  1주,144748141,4142126,2.86%,N/A  l  N/A,"4,355  l  2,155",29.14배  l  99원,N/A  l  N/A,"1.42배  l  2,028원",,7.35배,-1.10%,,,,,,,
아이윈플러스 *,606.0,28.0,+4.84%,606.0,607.0,1550739.0,904.0,725313.0,반도체와반도체장비,2022-09-20,아이윈플러스,123010,,,,,,,,,,,,,,,,,719  억원,코스닥 1071위,118636752,100원  l  1주,118636752,301065,0.25%,N/A  l  N/A,"1,288  l  428",N/A  l  -56원,N/A  l  N/A,2.19배  l  277원,,7.35배,-1.10%,,,,,,,
러셀 *,3605.0,145.0,+4.19%,3605.0,3610.0,383835.0,1381.0,217913.0,반도체와반도체장비,2022-09-20,러셀,217500,,,,,,,,,,,,,,,,,"1,147  억원",코스닥 742위,31812000,100원  l  1주,31812000,303457,0.95%,N/A  l  N/A,"5,560  l  2,860",16.09배  l  224원,N/A  l  N/A,"1.99배  l  1,810원",,7.35배,-1.10%,0.83%,,,,,,
지오엘리먼트 *,21950.0,800.0,+3.78%,21900.0,21950.0,554763.0,12188.0,1297746.0,반도체와반도체장비,2022-09-20,지오엘리먼트,311320,,,,,,,,,,,,,,,,,"1,384  억원",코스닥 634위,6307280,500원  l  1주,6307280,3150,0.05%,N/A  l  N/A,"53,900  l  15,350",,N/A  l  N/A,,,7.35배,-1.10%,0.46%,"20.03배  l  1,096원","3.00배  l  7,320원",,,,
코미코 *,52300.0,1900.0,+3.77%,52200.0,52300.0,37315.0,1940.0,58825.0,반도체와반도체장비,2022-09-20,코미코,183300,,,,,,,,,,,,,,,,,"5,241  억원",코스닥 111위,10020447,500원  l  1주,10020447,3884626,38.77%,N/A  l  N/A,"86,000  l  42,900","11.15배  l  4,692원",N/A  l  N/A,"2.10배  l  24,960원",,7.35배,-1.10%,1.05%,,,,,,
