종목명,현재가,전일비,등락률,거래량,거래대금,전일거래량,업종명,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
WI *,1140.0,234.0,+25.83%,9171446.0,10065.0,231771.0,반도체와반도체장비,2022-09-20,073570,,,,,,,,80904873,7.35,-1.10%,코스닥,922,896,,-133,3.1,368.0,
코디엠 *,440.0,41.0,+10.28%,8260735.0,3770.0,3424918.0,반도체와반도체장비,2022-09-20,224060,,,,,,,,60712429,7.35,-1.10%,코스닥,267,1492,,-272,0.43,1026.0,
에스앤에스텍 *,24250.0,1650.0,+7.30%,535243.0,12907.0,117016.0,반도체와반도체장비,2022-09-20,101490,,,,,,,,21451447,7.35,-1.10%,코스닥,5202,114,43.62,556,2.81,8623.0,0.41
타이거일렉 *,23300.0,1550.0,+7.13%,67349.0,1569.0,22208.0,반도체와반도체장비,2022-09-20,219130,,,,,,,,6314290,7.35,-1.10%,코스닥,1471,588,21.22,1098,2.62,8879.0,
아진엑스텍 *,11500.0,750.0,+6.98%,245178.0,2745.0,235945.0,반도체와반도체장비,2022-09-20,059120,,,,,,,,9748596,7.35,-1.10%,코스닥,1121,764,34.53,333,2.38,4839.0,1.3
KEC,2885.0,160.0,+5.87%,8496111.0,24522.0,2040720.0,반도체와반도체장비,2022-09-20,092220,,,,,,,,144748141,7.35,-1.10%,코스피,4176,366,29.14,99,1.42,2028.0,
아이윈플러스 *,606.0,28.0,+4.84%,1550739.0,904.0,725313.0,반도체와반도체장비,2022-09-20,123010,,,,,,,,118636752,7.35,-1.10%,코스닥,719,1071,,-56,2.19,277.0,
러셀 *,3605.0,145.0,+4.19%,383835.0,1381.0,217913.0,반도체와반도체장비,2022-09-20,217500,,,,,,,,31812000,7.35,-1.10%,코스닥,1147,742,16.09,224,1.99,1810.0,0.83
지오엘리먼트 *,21950.0,800.0,+3.78%,554763.0,12188.0,1297746.0,반도체와반도체장비,2022-09-20,311320,,,,,,,,6307280,7.35,-1.10%,코스닥,1384,634,20.03,1096,3.0,7320.0,0.46
코미코 *,52300.0,1900.0,+3.77%,37315.0,1940.0,58825.0,반도체와반도체장비,2022-09-20,183300,,,,,,,,10020447,7.35,-1.10%,코스닥,5241,111,11.15,4692,2.1,24960.0,1.05
HPSP *,64800.0,2300.0,+3.68%,175482.0,11396.0,237185.0,반도체와반도체장비,2022-09-20,403870,,,,,,,,19852395,7.35,-1.10%,코스닥,12864,30,30.42,2130,15.25,4250.0,
넥스트칩 *,9600.0,340.0,+3.67%,290989.0,2873.0,147757.0,반도체와반도체장비,2022-09-20,396270,,,,,,,,17384240,7.35,-1.10%,코스닥,1669,505,,-1690,3.34,2877.0,
로체시스템즈 *,7280.0,250.0,+3.56%,669158.0,4849.0,648892.0,반도체와반도체장비,2022-09-20,071280,,,,,,,,15296603,7.35,-1.10%,코스닥,1114,767,7.62,956,1.16,6278.0,0.28
케이엔더블유 *,11950.0,400.0,+3.46%,268320.0,3231.0,170085.0,반도체와반도체장비,2022-09-20,105330,,,,,,,,12135382,7.35,-1.10%,코스닥,1450,599,60.97,196,2.08,5752.0,
라온테크 *,14950.0,450.0,+3.10%,246513.0,3633.0,356167.0,반도체와반도체장비,2022-09-20,232680,198.0,42.0,,21.21,,,,12480734,7.35,-1.10%,코스닥,1866,439,26.99,554,8.06,1855.0,
해성디에스,54600.0,1600.0,+3.02%,199476.0,10811.0,336542.0,반도체와반도체장비,2022-09-20,195870,2233.0,557.0,428.0,24.96,19.18,2566.0,20.65,17000000,7.35,-1.10%,코스피,9282,228,6.99,7814,2.51,21746.0,1.1
유니테스트 *,17550.0,500.0,+2.93%,99810.0,1747.0,133325.0,반도체와반도체장비,2022-09-20,086390,309.0,-28.0,,-9.06,,-95.0,-180.17,21134126,7.35,-1.10%,코스닥,3709,190,,-570,2.48,7067.0,
싸이맥스 *,14800.0,400.0,+2.78%,29933.0,441.0,32302.0,반도체와반도체장비,2022-09-20,160980,,,,,,,,10924243,7.35,-1.10%,코스닥,1617,524,11.66,1269,1.0,14766.0,2.7
에이팩트 *,5230.0,140.0,+2.75%,72387.0,376.0,141196.0,반도체와반도체장비,2022-09-20,200470,,,,,,,,18476189,7.35,-1.10%,코스닥,966,872,18.81,278,1.29,4045.0,
에프에스티 *,13300.0,350.0,+2.70%,74392.0,999.0,61371.0,반도체와반도체장비,2022-09-20,036810,,,,,,,,21756789,7.35,-1.10%,코스닥,2894,258,54.51,244,1.3,10205.0,0.98
유니트론텍 *,3605.0,90.0,+2.56%,41274.0,149.0,69385.0,반도체와반도체장비,2022-09-20,142210,,,,,,,,18804562,7.35,-1.10%,코스닥,678,1129,4.5,801,0.82,4420.0,1.66
인텍플러스 *,16100.0,400.0,+2.55%,45639.0,734.0,263558.0,반도체와반도체장비,2022-09-20,064290,,,,,,,,12718462,7.35,-1.10%,코스닥,2048,401,7.84,2053,3.29,4888.0,1.24
기가레인 *,1485.0,35.0,+2.41%,126005.0,185.0,282749.0,반도체와반도체장비,2022-09-20,049080,230.0,28.0,,12.17,,,,79243240,7.35,-1.10%,코스닥,1177,733,,-21,1.97,753.0,
앤씨앤 *,1985.0,45.0,+2.32%,58760.0,117.0,89365.0,반도체와반도체장비,2022-09-20,092600,,,,,,,,25083517,7.35,-1.10%,코스닥,498,1311,,-654,0.76,2615.0,
알에프세미 *,3070.0,65.0,+2.16%,72085.0,220.0,126906.0,반도체와반도체장비,2022-09-20,096610,,,,,,,,10873812,7.35,-1.10%,코스닥,334,1460,,-950,1.06,2895.0,
칩스앤미디어 *,16650.0,350.0,+2.15%,84553.0,1411.0,120004.0,반도체와반도체장비,2022-09-20,094360,63.0,20.0,21.0,31.75,33.33,218.0,74.83,9640315,7.35,-1.10%,코스닥,1605,529,19.8,841,4.05,4109.0,0.98
아이앤씨 *,2675.0,55.0,+2.10%,25845.0,69.0,116565.0,반도체와반도체장비,2022-09-20,052860,,,,,,,,17862854,7.35,-1.10%,코스닥,478,1332,,-38,1.08,2482.0,
하이딥 *,1220.0,25.0,+2.09%,238123.0,289.0,648252.0,반도체와반도체장비,2022-09-20,365590,,,,,,,,137457352,7.35,-1.10%,코스닥,1677,502,,-42,9.53,128.0,
유니셈 *,8030.0,160.0,+2.03%,420433.0,3360.0,469436.0,반도체와반도체장비,2022-09-20,036200,846.0,130.0,,15.37,,,,30664223,7.35,-1.10%,코스닥,2462,323,10.37,774,1.25,6448.0,1.49
테스 *,18450.0,350.0,+1.93%,58571.0,1081.0,44289.0,반도체와반도체장비,2022-09-20,095610,908.0,169.0,87.0,18.65,9.58,627.0,28.86,19768226,7.35,-1.10%,코스닥,3647,197,7.01,2631,1.12,16518.0,3.04
엑사이엔씨 *,1325.0,25.0,+1.92%,148376.0,195.0,622450.0,반도체와반도체장비,2022-09-20,054940,,,,,,,,33173548,7.35,-1.10%,코스닥,440,1376,3.27,405,0.71,1867.0,
유니퀘스트,9070.0,170.0,+1.91%,111364.0,1018.0,110041.0,반도체와반도체장비,2022-09-20,077500,,,,,,,,27348975,7.35,-1.10%,코스피,2481,516,3.42,2652,0.71,12734.0,3.31
제이티 *,6950.0,130.0,+1.91%,33380.0,232.0,34490.0,반도체와반도체장비,2022-09-20,089790,212.0,39.0,,18.4,,320.0,21.32,10315513,7.35,-1.10%,코스닥,717,1076,4.69,1481,1.31,5307.0,
티씨케이 *,102400.0,1900.0,+1.89%,22384.0,2291.0,24244.0,반도체와반도체장비,2022-09-20,064760,880.0,346.0,270.0,39.28,30.76,2317.0,43.38,11675000,7.35,-1.10%,코스닥,11955,37,13.22,7746,3.22,31820.0,1.4
메카로 *,11000.0,200.0,+1.85%,22389.0,245.0,23714.0,반도체와반도체장비,2022-09-20,241770,,,,,,,,10192640,7.35,-1.10%,코스닥,1121,763,18.84,584,0.73,15094.0,1.46
엠케이전자 *,11400.0,200.0,+1.79%,150164.0,1698.0,251094.0,반도체와반도체장비,2022-09-20,033160,,,,,,,,21807689,7.35,-1.10%,코스닥,2486,319,13.26,860,0.59,19457.0,1.32
큐에스아이 *,11550.0,200.0,+1.76%,52828.0,612.0,105475.0,반도체와반도체장비,2022-09-20,066310,,,,,,,,9271621,7.35,-1.10%,코스닥,1071,797,41.1,281,1.36,8475.0,0.87
미코 *,7350.0,120.0,+1.66%,50795.0,372.0,72497.0,반도체와반도체장비,2022-09-20,059090,,,,,,,,33416778,7.35,-1.10%,코스닥,2456,324,,-619,1.1,6665.0,0.95
GST *,21750.0,350.0,+1.64%,59370.0,1299.0,85156.0,반도체와반도체장비,2022-09-20,083450,934.0,162.0,,17.34,,1363.0,15.7,9317745,7.35,-1.10%,코스닥,2027,410,5.16,4216,1.16,18672.0,1.38
가온칩스 *,25050.0,400.0,+1.62%,588714.0,14772.0,1256861.0,반도체와반도체장비,2022-09-20,399720,,,,,,,,11488320,7.35,-1.10%,코스닥,2878,261,37.0,677,5.58,4488.0,
